stock_code,Stknme,industry,Nindnme
600400,红豆股份,C13,服装及其他纤维制品制造业
600401,退市海润,G,信息技术业
600403,大有能源,B01,煤炭采选业
600405,动力源,G,信息技术业
600406,国电南瑞,G87,计算机应用服务业
600408,安泰集团,C65,黑色金属冶炼及压延加工业
600409,三友化工,C43,化学原料及化学制品制造业
600410,华胜天成,G87,计算机应用服务业
600415,小商品城,K99,其他社会服务业
600416,湘电股份,C71,普通机械制造业
600418,江淮汽车,C75,交通运输设备制造业
600419,天润乳业,C03,食品制造业
600420,国药现代,C81,医药制造业
600421,华嵘控股,C71,普通机械制造业
600422,昆药集团,C81,医药制造业
600423,柳化股份,C43,化学原料及化学制品制造业
600425,青松建化,C61,非金属矿物制品业
600426,华鲁恒升,C43,化学原料及化学制品制造业
600428,中远海特,F07,水上运输业
600429,三元股份,C03,食品制造业
600432,退市吉恩,C67,有色金属冶炼及压延加工业
600433,冠豪高新,C31,造纸及纸制品业
600435,北方导航,G,信息技术业
600436,片仔癀,C81,医药制造业
600438,通威股份,C01,食品加工业
600439,瑞贝卡,C14,皮革、毛皮、羽绒及制品制造业
600444,国机通用,C71,普通机械制造业
600446,金证股份,G87,计算机应用服务业
600448,华纺股份,C11,纺织业
600449,宁夏建材,C61,非金属矿物制品业
600452,涪陵电力,D01,电力、蒸汽、热水的生产和供应业
600455,博通股份,K99,其他社会服务业
600456,宝钛股份,C67,有色金属冶炼及压延加工业
600458,时代新材,C4,石油、化学、塑胶、塑料
600459,贵研铂业,C67,有色金属冶炼及压延加工业
600460,士兰微,G,信息技术业
600461,洪城环境,D05,自来水的生产和供应业
600462,*ST 九有,K99,其他社会服务业
600463,空港股份,E01,土木工程建筑业
600466,*ST 蓝光,J,房地产业
600467,好当家,A07,渔业
600468,百利电气,C76,电器机械及器材制造业
600469,风神股份,C4,石油、化学、塑胶、塑料
600470,六国化工,C43,化学原料及化学制品制造业
600472,包头铝业,B07,有色金属矿采选业
600475,华光环能,K99,其他社会服务业
600476,湘邮科技,G87,计算机应用服务业
600477,杭萧钢构,C69,金属制品业
600478,科力远,C76,电器机械及器材制造业
600479,千金药业,C81,医药制造业
600480,凌云股份,C75,交通运输设备制造业
600481,双良节能,C76,电器机械及器材制造业
600482,中国动力,C75,交通运输设备制造业
600483,福能股份,D01,电力、蒸汽、热水的生产和供应业
600485,*ST 信威,G,信息技术业
600486,扬农化工,C43,化学原料及化学制品制造业
600487,亨通光电,C76,电器机械及器材制造业
600488,津药药业,C81,医药制造业
600489,中金黄金,B07,有色金属矿采选业
600490,鹏欣资源,C67,有色金属冶炼及压延加工业
600491,龙元建设,E01,土木工程建筑业
600493,凤竹纺织,C11,纺织业
600495,晋西车轴,C75,交通运输设备制造业
600496,精工钢构,C69,金属制品业
600497,驰宏锌锗,B07,有色金属矿采选业
600498,烽火通信,G,信息技术业
600499,科达制造,C73,专用设备制造业
600500,中化国际,C43,化学原料及化学制品制造业
600501,航天晨光,C75,交通运输设备制造业
600502,安徽建工,E01,土木工程建筑业
600503,华丽家族,J,房地产业
600505,西昌电力,D01,电力、蒸汽、热水的生产和供应业
600506,统一股份,A01,农业
